CIVE 477,Seminar,1000
CIVE 478,Seminar,0100
CJ 204,Criminology,1111
CJ 206,Criminal Justice,1111
CJ 265,Criminal Investigation,0100
CJ 266,Crime Prevention Planning,0000
CJ 267,Intro to Security Studies,0000
CJ 273,"Surveillance, Tech & the Law",0000
CJ 274,"Sex,Violence & Crime-Internet",0000
CJ 275,Issues in Domestic Violence,0000
CJ 276,Introduction to Computer Crime,0000
CJ 277,Intro-Correctional Practices,0000
CJ 278,Intro to Law Enforcement,1010
CJ 280,Communities and Crime,0000
CJ 282,Community Policing,0000
CJ 289,Terrorism,0001
CJ 360,Juvenile Justice,0100
CJ 362,"Gender, Crime & Justice",0100
CJ 364,Community Corrections,0000
CJ 365,Comp Investigation & the Law,0000
CJ 372,Death Penalty,0010
CJ 373,Environmental Crimes,0000
CJ 374,Restorative Justice,1000
CJ 375,Criminal Procedure,1000
CJ 376,Sentencing,0100
CJ 377,Intellectual Property Theft,0000
CJ 378,Science of Forensic Science,1010
CJ 379,Forensic DNA Analysis,0100
CJ 381,Legal Research & Writing I,0000
CJ 382,Legal Research & Writing II,0000
CJ 390,Internship in Criminal Justice,1000
CJ 400,Critical Issues in CJ,0010
CMGT 101,Intro to Construction Mgmt,1100
CMGT 161,Bldg Mtls & Constr Mthds I,1000
CMGT 162,Bldg Mtls & Constr Mthds II,0100
CMGT 163,Bldg Mtls & Constr Mthds III,0010
CMGT 261,Construction Safety,1100
CMGT 262,Building Codes,0110
CMGT 263,Understdg Construction Drwgs,1010
CMGT 264,Const Mgmt of Field Operations,0110
CMGT 265,Info Technologies in Constrctn,1000
CMGT 266,Building Systems I,1000
CMGT 267,Building Systems II,0100
CMGT 361,Contracts And Specifications I,1010
CMGT 362,Contracts & Specs II,1100
CMGT 363,Estimating I,1010
CMGT 364,Estimating II,1100
CMGT 365,Soil Mechanics in Construction,1100
CMGT 371,Struct Aspects in Construct I,1100
CMGT 372,Struct Aspects in Constr II,0110
